,premise_emotion,premise_motivation,premise_consequence,premise_rot,hypothesis_emotion,hypothesis_motivation,hypothesis_consequence,hypothesis_rot
4231,I (myself)'s emotion is relieved.,I (myself)'s motivation is to be helpful.,[moral_consequence] The other people in the room are able to get away from me.,It's good to help out your family.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be safe.,[immoral_consequence] The other people in the house are hurt by the sex.,It's wrong to scrap someone's agony.
4232,I (myself)'s emotion is worried.,I (myself)'s motivation is to be a better person.,[immoral_consequence] I sometimes feel uncomfortable and irritated by the future.,It's good to be concerned about the future.,I (myself)'s emotion is happy.,I (myself)'s motivation is to be a good person.,"[immoral_consequence] I'm unable to see the future, and I'm unable to see the future.",It's good to be excited about the future.
4233,Her stepfather's emotion is sad.,.,[immoral_consequence] Her stepfather is hurt by the cruelty of his stepfather.,It's good to be a stepfather to your stepfather.,Stepfather's emotion is happy.,Stepfather's motivation is to be helpful.,[immoral_consequence] Her stepfather is hurt and hurt.,It's good to have a stepfather.
4234,I (myself)'s emotion is happy.,I (myself)'s motivation is to lose weight.,[immoral_consequence] I feel a little ill and feel bad about being overweight.,It's good to be mindful of your body.,I (myself)'s emotion is sad.,I (myself)'s motivation is to lose weight.,[moral_consequence] I can't stop eating and feel better.,It's good to be able to stop eating.
4235,.,Chemists' motivation is to be respected.,[immoral_consequence] The chemists are not very common and aren't able to get to know each other.,It's good to respect people.,Chemists' emotion is proud.,Chemists' motivation is to be helpful.,[immoral_consequence] The chemists are unable to get the money they need.,It's good to be honest with people.
4236,I (myself)'s emotion is sad.,I (myself)'s motivation is to betrayed.,[immoral_consequence] I feel less than dirt after being trayed by my wife.,It's wrong to betray your spouse.,I (myself)'s emotion is sad.,.,[immoral_consequence] My wife's trust is hurt and irritated by the sting.,It's wrong to betray your spouse's trust.
4237,.,.,[immoral_consequence] The other people who aren't familiar with the new option are unable to get the new one.,It's good to choose a new option.,.,.,[immoral_consequence] The devil is a bad person and is a bad person.,It's good to be able to help people who are evil.
4238,I (myself)'s emotion is happy.,I (myself)'s motivation is to have fun.,[immoral_consequence] I'm disappointed that the rain will be a bad thing for me.,It's good to have a picnic.,I (myself)'s emotion is happy.,I (myself)'s motivation is to have fun.,[moral_consequence] I was able to enjoy the day without any rain.,It's good to plan a picnic.
4239,Someone's emotion is annoyed.,Someone's motivation is to be helpful.,[immoral_consequence] Someone put a dent in my door and yelled at me.,It's good to be careful when you're in a car.,Someone's emotion is happy.,Someone's motivation is to be helpful.,[immoral_consequence] Someone put a dent in my door and yelled at me.,It's good to be happy when you return to your car.
4240,.,.,"[immoral_consequence] The men's friendships were ruined, and they both got into a fight.",It's good to be friends with people.,.,.,[immoral_consequence] The men were able to get into a fight with the other men and the two were both very upset.,It's good to be friends with people.
4241,I (myself)'s emotion is embarrassed.,Friend's motivation is to help me.,[immoral_consequence] I feel embarrassed and embarrassed.,It's okay to be embarrassed when you lose a book.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be helpful.,[immoral_consequence] I am unable to find a new book that I didn't like.,It's wrong to misplace a book.
4242,.,.,[immoral_consequence] The clients were unable to afford to spend enough money on something that was already a lost cause.,It's good to be careful about your finances.,.,.,[immoral_consequence] The clients in chance creek were unable to afford to throw good money after bad.,It's good to be honest with people.
4243,His colleagues' emotion is sad.,His colleagues' motivation is to be helpful.,[immoral_consequence] His colleagues didn't get to help them and didn't get to know him.,It's good to be supportive of your colleagues.,His colleagues' emotion is disappointed.,His colleagues' motivation is to be helpful.,[immoral_consequence] His colleagues didn't help him and he didn't get to go to the hospital.,It's good to help your colleagues.
4244,I (myself)'s emotion is happy.,Sister's motivation is to be helpful.,[immoral_consequence] My sister's mother is upset that she planned a party for her.,It's good to plan a party for your family.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be helpful.,[immoral_consequence] My sister is upset that she didn't plan a party for her mother.,It's good to plan a party for your family.
4245,Neighbor's emotion is annoyed.,Neighbor's motivation is to be helpful.,[immoral_consequence] My neighbor is annoyed and yells at me.,It's good to make noises.,I (myself)'s emotion is happy.,I (myself)'s motivation is to be helpful.,[immoral_consequence] Everyone is annoyed by the disruptive behavior and is angry at me.,It's good to be happy about your neighbors' behavior.
4246,Darcy's emotion is proud.,Darcy's motivation is to be respected.,[immoral_consequence] Darcy's reputation is ruined by the failure of a man.,It's good to be committed to people.,Darcy's emotion is proud.,Darcy's motivation is to be a butterfly.,[immoral_consequence] Darcy's reputation is ruined by the resale.,It's good to be proud of yourself.
4247,I (myself)'s emotion is disappointed.,I (myself)'s motivation is to get groceries.,[immoral_consequence] I was unable to pay for the delivery.,It's good to get groceries.,I (myself)'s emotion is annoyed.,I (myself)'s motivation is to be helpful.,[immoral_consequence] I was so late that I had to wait for the next day for groceries.,It's good to cook for yourself.
4248,.,.,[moral_consequence] The stars of the sky were able to see the moon.,It's good to have a moon.,.,.,[immoral_consequence] The moon screamed at the stars and screamed at them.,It's good to smile at the stars in the sky.
4249,Best friend's emotion is happy.,Best friend's motivation is to be helpful.,[immoral_consequence] My best friend's friends are upset that they have been spending time with others.,It's good to spend time with people you're working with.,Best friend's emotion is sad.,Best friend's motivation is to be helpful.,[immoral_consequence] You're unable to get to work and your friend isn't able to work with you.,It's good to have time for your friends.
4250,I (myself)'s emotion is annoyed.,I (myself)'s motivation is to be helpful.,[immoral_consequence] I get a hair drier and it's causing a lot of pain.,It's wrong to burn your hair with your hair drier.,I (myself)'s emotion is happy.,I (myself)'s motivation is to be helpful.,[immoral_consequence] I have to get a new hair drier and have to get a new hair drier.,It's wrong to burn your hair with your hair drier.
4251,.,.,[immoral_consequence] The woman had been wearing a variety of shabby shaded but yellow but yellow.,It's good to be able to look good.,.,.,[immoral_consequence] The girl was a bit irritated by the yellow.,It's good to do things you like.
4252,I (myself)'s emotion is sad.,I (myself)'s motivation is to be safe.,[immoral_consequence] I don't get any insurance and don't have any insurance.,It's good to have health insurance.,I (myself)'s emotion is anxious.,I (myself)'s motivation is to be safe.,[immoral_consequence] I have to pay for health insurance and get a medical emergency.,It's good to have health insurance.
4253,I (myself)'s emotion is sad.,I (myself)'s motivation is to be safe.,[immoral_consequence] My storage unit is burned and I have to pay for the storage.,It's good to be grateful when your storage unit is burned down.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be safe.,[immoral_consequence] The storage unit is burned down and I am unable to get back to the storage unit.,It's understandable to be sad when you lose your memories.
4254,I (myself)'s emotion is irritated.,I (myself)'s motivation is to be respectful.,[immoral_consequence] I'm a bit irritated by the words and the house is ruined.,It's good to be able to work out your problems.,I (myself)'s emotion is annoyed.,I (myself)'s motivation is to be understood.,[immoral_consequence] I am unable to speak to anyone in the house.,It's good to be honest with others.
